Electricity Pricing [$/kWh],6h Prediction Electricity Pricing [$/kWh],12h Prediction Electricity Pricing [$/kWh],24h Prediction Electricity Pricing [$/kWh]
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.22
0.22,0.22,0.54,0.22
0.22,0.22,0.54,0.22
0.22,0.22,0.54,0.22
0.22,0.22,0.54,0.22
0.22,0.22,0.54,0.22
0.22,0.22,0.22,0.22
0.22,0.54,0.22,0.22
0.22,0.54,0.22,0.22
0.22,0.54,0.22,0.22
0.22,0.54,0.22,0.22
0.22,0.54,0.22,0.22
0.22,0.22,0.22,0.22
0.54,0.22,0.22,0.54
0.54,0.22,0.22,0.54
0.54,0.22,0.22,0.54
0.54,0.22,0.22,0.54
0.54,0.22,0.22,0.54
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.22
0.22,0.22,0.54,0.22
0.22,0.22,0.54,0.22
0.22,0.22,0.54,0.22
0.22,0.22,0.54,0.22
0.22,0.22,0.54,0.22
0.22,0.22,0.22,0.22
0.22,0.54,0.22,0.22
0.22,0.54,0.22,0.22
0.22,0.54,0.22,0.22
0.22,0.54,0.22,0.22
0.22,0.54,0.22,0.22
0.22,0.22,0.22,0.22
0.54,0.22,0.22,0.54
0.54,0.22,0.22,0.54
0.54,0.22,0.22,0.54
0.54,0.22,0.22,0.54
0.54,0.22,0.22,0.54
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.22
0.22,0.22,0.54,0.22
0.22,0.22,0.54,0.22
0.22,0.22,0.54,0.22
0.22,0.22,0.54,0.22
0.22,0.22,0.54,0.22
0.22,0.22,0.22,0.22
0.22,0.54,0.22,0.22
0.22,0.54,0.22,0.22
0.22,0.54,0.22,0.22
0.22,0.54,0.22,0.22
0.22,0.54,0.22,0.22
0.22,0.22,0.22,0.22
0.54,0.22,0.22,0.54
0.54,0.22,0.22,0.54
0.54,0.22,0.22,0.54
0.54,0.22,0.22,0.54
0.54,0.22,0.22,0.54
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.22
0.22,0.22,0.54,0.22
0.22,0.22,0.54,0.22
0.22,0.22,0.54,0.22
0.22,0.22,0.54,0.22
0.22,0.22,0.54,0.22
0.22,0.22,0.22,0.22
0.22,0.54,0.22,0.22
0.22,0.54,0.22,0.22
0.22,0.54,0.22,0.22
0.22,0.54,0.22,0.22
0.22,0.54,0.22,0.22
0.22,0.22,0.22,0.22
0.54,0.22,0.22,0.4
0.54,0.22,0.22,0.4
0.54,0.22,0.22,0.4
0.54,0.22,0.22,0.4
0.54,0.22,0.22,0.4
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.22
0.22,0.22,0.4,0.22
0.22,0.22,0.4,0.22
0.22,0.22,0.4,0.22
0.22,0.22,0.4,0.22
0.22,0.22,0.4,0.22
0.22,0.22,0.22,0.22
0.22,0.4,0.22,0.22
0.22,0.4,0.22,0.22
0.22,0.4,0.22,0.22
0.22,0.4,0.22,0.22
0.22,0.4,0.22,0.22
0.22,0.22,0.22,0.22
0.4,0.22,0.22,0.4
0.4,0.22,0.22,0.4
0.4,0.22,0.22,0.4
0.4,0.22,0.22,0.4
0.4,0.22,0.22,0.4
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.22
0.22,0.22,0.4,0.22
0.22,0.22,0.4,0.22
0.22,0.22,0.4,0.22
0.22,0.22,0.4,0.22
0.22,0.22,0.4,0.22
0.22,0.22,0.22,0.22
0.22,0.4,0.22,0.22
0.22,0.4,0.22,0.22
0.22,0.4,0.22,0.22
0.22,0.4,0.22,0.22
0.22,0.4,0.22,0.22
0.22,0.22,0.22,0.22
0.4,0.22,0.22,0.54
0.4,0.22,0.22,0.54
0.4,0.22,0.22,0.54
0.4,0.22,0.22,0.54
0.4,0.22,0.22,0.54
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.22
0.22,0.22,0.54,0.22
0.22,0.22,0.54,0.22
0.22,0.22,0.54,0.22
0.22,0.22,0.54,0.22
0.22,0.22,0.54,0.22
0.22,0.22,0.22,0.22
0.22,0.54,0.22,0.22
0.22,0.54,0.22,0.22
0.22,0.54,0.22,0.22
0.22,0.54,0.22,0.22
0.22,0.54,0.22,0.22
0.22,0.22,0.22,0.22
0.54,0.22,0.22,0.54
0.54,0.22,0.22,0.54
0.54,0.22,0.22,0.54
0.54,0.22,0.22,0.54
0.54,0.22,0.22,0.54
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.22
0.22,0.22,0.54,0.22
0.22,0.22,0.54,0.22
0.22,0.22,0.54,0.22
0.22,0.22,0.54,0.22
0.22,0.22,0.54,0.22
0.22,0.22,0.22,0.22
0.22,0.54,0.22,0.22
0.22,0.54,0.22,0.22
0.22,0.54,0.22,0.22
0.22,0.54,0.22,0.22
0.22,0.54,0.22,0.22
0.22,0.22,0.22,0.22
0.54,0.22,0.22,0.54
0.54,0.22,0.22,0.54
0.54,0.22,0.22,0.54
0.54,0.22,0.22,0.54
0.54,0.22,0.22,0.54
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.22
0.22,0.22,0.54,0.22
0.22,0.22,0.54,0.22
0.22,0.22,0.54,0.22
0.22,0.22,0.54,0.22
0.22,0.22,0.54,0.22
0.22,0.22,0.22,0.22
0.22,0.54,0.22,0.22
0.22,0.54,0.22,0.22
0.22,0.54,0.22,0.22
0.22,0.54,0.22,0.22
0.22,0.54,0.22,0.22
0.22,0.22,0.22,0.22
0.54,0.22,0.22,0.54
0.54,0.22,0.22,0.54
0.54,0.22,0.22,0.54
0.54,0.22,0.22,0.54
0.54,0.22,0.22,0.54
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.22
0.22,0.22,0.54,0.22
0.22,0.22,0.54,0.22
0.22,0.22,0.54,0.22
0.22,0.22,0.54,0.22
0.22,0.22,0.54,0.22
0.22,0.22,0.22,0.22
0.22,0.54,0.22,0.22
0.22,0.54,0.22,0.22
0.22,0.54,0.22,0.22
0.22,0.54,0.22,0.22
0.22,0.54,0.22,0.22
0.22,0.22,0.22,0.22
0.54,0.22,0.22,0.54
0.54,0.22,0.22,0.54
0.54,0.22,0.22,0.54
0.54,0.22,0.22,0.54
0.54,0.22,0.22,0.54
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.22
0.22,0.22,0.54,0.22
0.22,0.22,0.54,0.22
0.22,0.22,0.54,0.22
0.22,0.22,0.54,0.22
0.22,0.22,0.54,0.22
0.22,0.22,0.22,0.22
0.22,0.54,0.22,0.22
0.22,0.54,0.22,0.22
0.22,0.54,0.22,0.22
0.22,0.54,0.22,0.22
0.22,0.54,0.22,0.22
0.22,0.22,0.22,0.22
0.54,0.22,0.22,0.4
0.54,0.22,0.22,0.4
0.54,0.22,0.22,0.4
0.54,0.22,0.22,0.4
0.54,0.22,0.22,0.4
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.22
0.22,0.22,0.4,0.22
0.22,0.22,0.4,0.22
0.22,0.22,0.4,0.22
0.22,0.22,0.4,0.22
0.22,0.22,0.4,0.22
0.22,0.22,0.22,0.22
0.22,0.4,0.22,0.22
0.22,0.4,0.22,0.22
0.22,0.4,0.22,0.22
0.22,0.4,0.22,0.22
0.22,0.4,0.22,0.22
0.22,0.22,0.22,0.22
0.4,0.22,0.22,0.4
0.4,0.22,0.22,0.4
0.4,0.22,0.22,0.4
0.4,0.22,0.22,0.4
0.4,0.22,0.22,0.4
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.22
0.22,0.22,0.4,0.22
0.22,0.22,0.4,0.22
0.22,0.22,0.4,0.22
0.22,0.22,0.4,0.22
0.22,0.22,0.4,0.22
0.22,0.22,0.22,0.22
0.22,0.4,0.22,0.22
0.22,0.4,0.22,0.22
0.22,0.4,0.22,0.22
0.22,0.4,0.22,0.22
0.22,0.4,0.22,0.22
0.22,0.22,0.22,0.22
0.4,0.22,0.22,0.54
0.4,0.22,0.22,0.54
0.4,0.22,0.22,0.54
0.4,0.22,0.22,0.54
0.4,0.22,0.22,0.54
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.22
0.22,0.22,0.54,0.22
0.22,0.22,0.54,0.22
0.22,0.22,0.54,0.22
0.22,0.22,0.54,0.22
0.22,0.22,0.54,0.22
0.22,0.22,0.22,0.22
0.22,0.54,0.22,0.22
0.22,0.54,0.22,0.22
0.22,0.54,0.22,0.22
0.22,0.54,0.22,0.22
0.22,0.54,0.22,0.22
0.22,0.22,0.22,0.22
0.54,0.22,0.22,0.54
0.54,0.22,0.22,0.54
0.54,0.22,0.22,0.54
0.54,0.22,0.22,0.54
0.54,0.22,0.22,0.54
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.22
0.22,0.22,0.54,0.22
0.22,0.22,0.54,0.22
0.22,0.22,0.54,0.22
0.22,0.22,0.54,0.22
0.22,0.22,0.54,0.22
0.22,0.22,0.22,0.22
0.22,0.54,0.22,0.22
0.22,0.54,0.22,0.22
0.22,0.54,0.22,0.22
0.22,0.54,0.22,0.22
0.22,0.54,0.22,0.22
0.22,0.22,0.22,0.22
0.54,0.22,0.22,0.54
0.54,0.22,0.22,0.54
0.54,0.22,0.22,0.54
0.54,0.22,0.22,0.54
0.54,0.22,0.22,0.54
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.22
0.22,0.22,0.54,0.22
0.22,0.22,0.54,0.22
0.22,0.22,0.54,0.22
0.22,0.22,0.54,0.22
0.22,0.22,0.54,0.22
0.22,0.22,0.22,0.22
0.22,0.54,0.22,0.22
0.22,0.54,0.22,0.22
0.22,0.54,0.22,0.22
0.22,0.54,0.22,0.22
0.22,0.54,0.22,0.22
0.22,0.22,0.22,0.22
0.54,0.22,0.22,0.54
0.54,0.22,0.22,0.54
0.54,0.22,0.22,0.54
0.54,0.22,0.22,0.54
0.54,0.22,0.22,0.54
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.22
0.22,0.22,0.54,0.22
0.22,0.22,0.54,0.22
0.22,0.22,0.54,0.22
0.22,0.22,0.54,0.22
0.22,0.22,0.54,0.22
0.22,0.22,0.22,0.22
0.22,0.54,0.22,0.22
0.22,0.54,0.22,0.22
0.22,0.54,0.22,0.22
0.22,0.54,0.22,0.22
0.22,0.54,0.22,0.22
0.22,0.22,0.22,0.22
0.54,0.22,0.22,0.54
0.54,0.22,0.22,0.54
0.54,0.22,0.22,0.54
0.54,0.22,0.22,0.54
0.54,0.22,0.22,0.54
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.22
0.22,0.22,0.54,0.22
0.22,0.22,0.54,0.22
0.22,0.22,0.54,0.22
0.22,0.22,0.54,0.22
0.22,0.22,0.54,0.22
0.22,0.22,0.22,0.22
0.22,0.54,0.22,0.22
0.22,0.54,0.22,0.22
0.22,0.54,0.22,0.22
0.22,0.54,0.22,0.22
0.22,0.54,0.22,0.22
0.22,0.22,0.22,0.22
0.54,0.22,0.22,0.4
0.54,0.22,0.22,0.4
0.54,0.22,0.22,0.4
0.54,0.22,0.22,0.4
0.54,0.22,0.22,0.4
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.22
0.22,0.22,0.4,0.22
0.22,0.22,0.4,0.22
0.22,0.22,0.4,0.22
0.22,0.22,0.4,0.22
0.22,0.22,0.4,0.22
0.22,0.22,0.22,0.22
0.22,0.4,0.22,0.22
0.22,0.4,0.22,0.22
0.22,0.4,0.22,0.22
0.22,0.4,0.22,0.22
0.22,0.4,0.22,0.22
0.22,0.22,0.22,0.22
0.4,0.22,0.22,0.4
0.4,0.22,0.22,0.4
0.4,0.22,0.22,0.4
0.4,0.22,0.22,0.4
0.4,0.22,0.22,0.4
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.22
0.22,0.22,0.4,0.22
0.22,0.22,0.4,0.22
0.22,0.22,0.4,0.22
0.22,0.22,0.4,0.22
0.22,0.22,0.4,0.22
0.22,0.22,0.22,0.22
0.22,0.4,0.22,0.22
0.22,0.4,0.22,0.22
0.22,0.4,0.22,0.22
0.22,0.4,0.22,0.22
0.22,0.4,0.22,0.22
0.22,0.22,0.22,0.22
0.4,0.22,0.22,0.54
0.4,0.22,0.22,0.54
0.4,0.22,0.22,0.54
0.4,0.22,0.22,0.54
0.4,0.22,0.22,0.54
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.22
0.22,0.22,0.54,0.22
0.22,0.22,0.54,0.22
0.22,0.22,0.54,0.22
0.22,0.22,0.54,0.22
0.22,0.22,0.54,0.22
0.22,0.22,0.22,0.22
0.22,0.54,0.22,0.22
0.22,0.54,0.22,0.22
0.22,0.54,0.22,0.22
0.22,0.54,0.22,0.22
0.22,0.54,0.22,0.22
0.22,0.22,0.22,0.22
0.54,0.22,0.22,0.54
0.54,0.22,0.22,0.54
0.54,0.22,0.22,0.54
0.54,0.22,0.22,0.54
0.54,0.22,0.22,0.54
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.22
0.22,0.22,0.54,0.22
0.22,0.22,0.54,0.22
0.22,0.22,0.54,0.22
0.22,0.22,0.54,0.22
0.22,0.22,0.54,0.22
0.22,0.22,0.22,0.22
0.22,0.54,0.22,0.22
0.22,0.54,0.22,0.22
0.22,0.54,0.22,0.22
0.22,0.54,0.22,0.22
0.22,0.54,0.22,0.22
0.22,0.22,0.22,0.22
0.54,0.22,0.22,0.54
0.54,0.22,0.22,0.54
0.54,0.22,0.22,0.54
0.54,0.22,0.22,0.54
0.54,0.22,0.22,0.54
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.22
0.22,0.22,0.54,0.22
0.22,0.22,0.54,0.22
0.22,0.22,0.54,0.22
0.22,0.22,0.54,0.22
0.22,0.22,0.54,0.22
0.22,0.22,0.22,0.22
0.22,0.54,0.22,0.22
0.22,0.54,0.22,0.22
0.22,0.54,0.22,0.22
0.22,0.54,0.22,0.22
0.22,0.54,0.22,0.22
0.22,0.22,0.22,0.22
0.54,0.22,0.22,0.54
0.54,0.22,0.22,0.54
0.54,0.22,0.22,0.54
0.54,0.22,0.22,0.54
0.54,0.22,0.22,0.54
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.22
0.22,0.22,0.54,0.22
0.22,0.22,0.54,0.22
0.22,0.22,0.54,0.22
0.22,0.22,0.54,0.22
0.22,0.22,0.54,0.22
0.22,0.22,0.22,0.22
0.22,0.54,0.22,0.22
0.22,0.54,0.22,0.22
0.22,0.54,0.22,0.22
0.22,0.54,0.22,0.22
0.22,0.54,0.22,0.22
0.22,0.22,0.22,0.22
0.54,0.22,0.22,0.54
0.54,0.22,0.22,0.54
0.54,0.22,0.22,0.54
0.54,0.22,0.22,0.54
0.54,0.22,0.22,0.54
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.21
0.22,0.22,0.22,0.21
0.22,0.22,0.22,0.21
0.22,0.22,0.22,0.21
0.22,0.22,0.54,0.21
0.22,0.22,0.54,0.21
0.22,0.22,0.54,0.21
0.22,0.22,0.54,0.21
0.22,0.22,0.54,0.21
0.22,0.22,0.22,0.21
0.22,0.54,0.22,0.21
0.22,0.54,0.22,0.21
0.22,0.54,0.21,0.21
0.22,0.54,0.21,0.21
0.22,0.54,0.21,0.21
0.22,0.22,0.21,0.21
0.54,0.22,0.21,0.5
0.54,0.22,0.21,0.5
0.54,0.21,0.21,0.5
0.54,0.21,0.21,0.5
0.54,0.21,0.21,0.5
0.22,0.21,0.21,0.21
0.22,0.21,0.21,0.21
0.22,0.21,0.21,0.21
0.21,0.21,0.21,0.21
0.21,0.21,0.21,0.21
0.21,0.21,0.21,0.21
0.21,0.21,0.21,0.21
0.21,0.21,0.5,0.21
0.21,0.21,0.5,0.21
0.21,0.21,0.5,0.21
0.21,0.21,0.5,0.21
0.21,0.21,0.5,0.21
0.21,0.21,0.21,0.21
0.21,0.5,0.21,0.21
0.21,0.5,0.21,0.21
0.21,0.5,0.21,0.21
0.21,0.5,0.21,0.21
0.21,0.5,0.21,0.21
0.21,0.21,0.21,0.21
0.5,0.21,0.21,0.5
0.5,0.21,0.21,0.5
0.5,0.21,0.21,0.5
0.5,0.21,0.21,0.5
0.5,0.21,0.21,0.5
0.21,0.21,0.21,0.21
0.21,0.21,0.21,0.21
0.21,0.21,0.21,0.21
0.21,0.21,0.21,0.21
0.21,0.21,0.21,0.21
0.21,0.21,0.21,0.21
0.21,0.21,0.21,0.21
0.21,0.21,0.5,0.21
0.21,0.21,0.5,0.21
0.21,0.21,0.5,0.21
0.21,0.21,0.5,0.21
0.21,0.21,0.5,0.21
0.21,0.21,0.21,0.21
0.21,0.5,0.21,0.21
0.21,0.5,0.21,0.21
0.21,0.5,0.21,0.21
0.21,0.5,0.21,0.21
0.21,0.5,0.21,0.21
0.21,0.21,0.21,0.21
0.5,0.21,0.21,0.5
0.5,0.21,0.21,0.5
0.5,0.21,0.21,0.5
0.5,0.21,0.21,0.5
0.5,0.21,0.21,0.5
0.21,0.21,0.21,0.21
0.21,0.21,0.21,0.21
0.21,0.21,0.21,0.21
0.21,0.21,0.21,0.21
0.21,0.21,0.21,0.21
0.21,0.21,0.21,0.21
0.21,0.21,0.21,0.21
0.21,0.21,0.5,0.21
0.21,0.21,0.5,0.21
0.21,0.21,0.5,0.21
0.21,0.21,0.5,0.21
0.21,0.21,0.5,0.21
0.21,0.21,0.21,0.21
0.21,0.5,0.21,0.21
0.21,0.5,0.21,0.21
0.21,0.5,0.21,0.21
0.21,0.5,0.21,0.21
0.21,0.5,0.21,0.21
0.21,0.21,0.21,0.21
0.5,0.21,0.21,0.5
0.5,0.21,0.21,0.5
0.5,0.21,0.21,0.5
0.5,0.21,0.21,0.5
0.5,0.21,0.21,0.5
0.21,0.21,0.21,0.21
0.21,0.21,0.21,0.21
0.21,0.21,0.21,0.21
0.21,0.21,0.21,0.21
0.21,0.21,0.21,0.21
0.21,0.21,0.21,0.21
0.21,0.21,0.21,0.21
0.21,0.21,0.5,0.21
0.21,0.21,0.5,0.21
0.21,0.21,0.5,0.21
0.21,0.21,0.5,0.21
0.21,0.21,0.5,0.21
0.21,0.21,0.21,0.21
0.21,0.5,0.21,0.21
0.21,0.5,0.21,0.21
0.21,0.5,0.21,0.21
0.21,0.5,0.21,0.21
0.21,0.5,0.21,0.21
0.21,0.21,0.21,0.21
0.5,0.21,0.21,0.5
0.5,0.21,0.21,0.5
0.5,0.21,0.21,0.5
0.5,0.21,0.21,0.5
0.5,0.21,0.21,0.5
0.21,0.21,0.21,0.21
0.21,0.21,0.21,0.21
0.21,0.21,0.21,0.21
0.21,0.21,0.21,0.21
0.21,0.21,0.21,0.21
0.21,0.21,0.21,0.21
0.21,0.21,0.21,0.21
0.21,0.21,0.5,0.21
0.21,0.21,0.5,0.21
0.21,0.21,0.5,0.21
0.21,0.21,0.5,0.21
0.21,0.21,0.5,0.21
0.21,0.21,0.21,0.21
0.21,0.5,0.21,0.21
0.21,0.5,0.21,0.21
0.21,0.5,0.21,0.21
0.21,0.5,0.21,0.21
0.21,0.5,0.21,0.21
0.21,0.21,0.21,0.21
0.5,0.21,0.21,0.5
0.5,0.21,0.21,0.5
0.5,0.21,0.21,0.5
0.5,0.21,0.21,0.5
0.5,0.21,0.21,0.5
0.21,0.21,0.21,0.21
0.21,0.21,0.21,0.21
0.21,0.21,0.21,0.21
0.21,0.21,0.21,0.21
0.21,0.21,0.21,0.21
0.21,0.21,0.21,0.21
0.21,0.21,0.21,0.21
0.21,0.21,0.5,0.21
0.21,0.21,0.5,0.21
0.21,0.21,0.5,0.21
0.21,0.21,0.5,0.21
0.21,0.21,0.5,0.21
0.21,0.21,0.21,0.21
0.21,0.5,0.21,0.21
0.21,0.5,0.21,0.21
0.21,0.5,0.21,0.21
0.21,0.5,0.21,0.21
0.21,0.5,0.21,0.21
0.21,0.21,0.21,0.21
0.5,0.21,0.21,0.5
0.5,0.21,0.21,0.5
0.5,0.21,0.21,0.5
0.5,0.21,0.21,0.5
0.5,0.21,0.21,0.5
0.21,0.21,0.21,0.21
0.21,0.21,0.21,0.21
0.21,0.21,0.21,0.21
0.21,0.21,0.21,0.21
0.21,0.21,0.21,0.21
0.21,0.21,0.21,0.21
0.21,0.21,0.21,0.21
0.21,0.21,0.5,0.21
0.21,0.21,0.5,0.21
0.21,0.21,0.5,0.21
0.21,0.21,0.5,0.21
0.21,0.21,0.5,0.21
0.21,0.21,0.21,0.21
0.21,0.5,0.21,0.21
0.21,0.5,0.21,0.21
0.21,0.5,0.21,0.21
0.21,0.5,0.21,0.21
0.21,0.5,0.21,0.21
0.21,0.21,0.21,0.21
0.5,0.21,0.21,0.5
0.5,0.21,0.21,0.5
0.5,0.21,0.21,0.5
0.5,0.21,0.21,0.5
0.5,0.21,0.21,0.5
0.21,0.21,0.21,0.21
0.21,0.21,0.21,0.21
0.21,0.21,0.21,0.21
0.21,0.21,0.21,0.21
0.21,0.21,0.21,0.21
0.21,0.21,0.21,0.21
0.21,0.21,0.21,0.21
0.21,0.21,0.5,0.21
0.21,0.21,0.5,0.21
0.21,0.21,0.5,0.21
0.21,0.21,0.5,0.21
0.21,0.21,0.5,0.21
0.21,0.21,0.21,0.21
0.21,0.5,0.21,0.21
0.21,0.5,0.21,0.21
0.21,0.5,0.21,0.21
0.21,0.5,0.21,0.21
0.21,0.5,0.21,0.21
0.21,0.21,0.21,0.21
0.5,0.21,0.21,0.5
0.5,0.21,0.21,0.5
0.5,0.21,0.21,0.5
0.5,0.21,0.21,0.5
0.5,0.21,0.21,0.5
0.21,0.21,0.21,0.21
0.21,0.21,0.21,0.21
0.21,0.21,0.21,0.21
0.21,0.21,0.21,0.21
0.21,0.21,0.21,0.21
0.21,0.21,0.21,0.21
0.21,0.21,0.21,0.21
0.21,0.21,0.5,0.21
0.21,0.21,0.5,0.21
0.21,0.21,0.5,0.21
0.21,0.21,0.5,0.21
0.21,0.21,0.5,0.21
0.21,0.21,0.21,0.21
0.21,0.5,0.21,0.21
0.21,0.5,0.21,0.21
0.21,0.5,0.21,0.21
0.21,0.5,0.21,0.21
0.21,0.5,0.21,0.21
0.21,0.21,0.21,0.21
0.5,0.21,0.21,0.5
0.5,0.21,0.21,0.5
0.5,0.21,0.21,0.5
0.5,0.21,0.21,0.5
0.5,0.21,0.21,0.5
0.21,0.21,0.21,0.21
0.21,0.21,0.21,0.21
0.21,0.21,0.21,0.21
0.21,0.21,0.21,0.21
0.21,0.21,0.21,0.21
0.21,0.21,0.21,0.21
0.21,0.21,0.21,0.21
0.21,0.21,0.5,0.21
0.21,0.21,0.5,0.21
0.21,0.21,0.5,0.21
0.21,0.21,0.5,0.21
0.21,0.21,0.5,0.21
0.21,0.21,0.21,0.21
0.21,0.5,0.21,0.21
0.21,0.5,0.21,0.21
0.21,0.5,0.21,0.21
0.21,0.5,0.21,0.21
0.21,0.5,0.21,0.21
0.21,0.21,0.21,0.21
0.5,0.21,0.21,0.5
0.5,0.21,0.21,0.5
0.5,0.21,0.21,0.5
0.5,0.21,0.21,0.5
0.5,0.21,0.21,0.5
0.21,0.21,0.21,0.21
0.21,0.21,0.21,0.21
0.21,0.21,0.21,0.21
0.21,0.21,0.21,0.21
0.21,0.21,0.21,0.21
0.21,0.21,0.21,0.21
0.21,0.21,0.21,0.21
0.21,0.21,0.5,0.21
0.21,0.21,0.5,0.21
0.21,0.21,0.5,0.21
0.21,0.21,0.5,0.21
0.21,0.21,0.5,0.21
0.21,0.21,0.21,0.21
0.21,0.5,0.21,0.21
0.21,0.5,0.21,0.21
0.21,0.5,0.21,0.21
0.21,0.5,0.21,0.21
0.21,0.5,0.21,0.21
0.21,0.21,0.21,0.21
0.5,0.21,0.21,0.5
0.5,0.21,0.21,0.5
0.5,0.21,0.21,0.5
0.5,0.21,0.21,0.5
0.5,0.21,0.21,0.5
0.21,0.21,0.21,0.21
0.21,0.21,0.21,0.21
0.21,0.21,0.21,0.21
0.21,0.21,0.21,0.21
0.21,0.21,0.21,0.21
0.21,0.21,0.21,0.21
0.21,0.21,0.21,0.21
0.21,0.21,0.5,0.21
0.21,0.21,0.5,0.21
0.21,0.21,0.5,0.21
